Team,Last,First,Rank
Swim,Levi,Shalom,6
Soccer,Matok,Nitzi,2
Soccer,Bina,Chava,4
Chess,Katz,Maor,5
Swim,Krep,Eliezer,2
Soccer,Levana,Rutie,7
Soccer,Orlov,Boris,3
Chess,Renker,Gadi,2
Swim,Bergoff, Marina,4
Chess,Bergoff,Marina,6
Swim,Boruch,Miri,3
Swim,Chalek,Hinon,1
Soccer,Chazak, Shlomit,8
Soccer,Machon,Moe,6
Chess,Lesk, Haim,1
Chess,Orlov, Boris,3
Soccer, French, Pierre,1
Soccer,Chacham, Shlomo,5
Swim,Levana, Rutie,5
Chess,Levi,Shalom,4
Swim,Chazak,Shlomit,3
Chess,Cohen,David,2
Swim,Levine,Rachel,1
Soccer,Goldstein,Yael,4
Chess,Avraham,Benjamin,6
Debate,Schwartz,Noa,2
Robotics,Berger,Daniel,3
Swim,Friedman,Maya,4
Soccer,Weiss,Jonathan,1
Chess,Machon,Moe,3
Debate,Levine,Rachel,5
Robotics,Goldstein,Yael,2
Swim,Cohen,David,7
Chess,Stern,Michael,4
Debate,Rosenberg,Sarah,1
Robotics,Goldman,Isaac,5
Swim,Klein,Rebecca,3
Soccer,Shapiro,Samuel,6
Chess,Silver,Hannah,2
Debate,Gordon,Elijah,4
Robotics,Blum,Leah,1
Swim,Rosen,Adam,5
Soccer,Feldman,Miriam,3
Chess,Newman,Jacob,7
Debate,Diamond,Sophie,2
Robotics,Solomon,Nathan,4
Swim,Goldberg,Emma,1
Soccer,Schneider,Joshua,6
